Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,17.875000,18.375000,17.750000,17.750000,3.131332,149600
1985-02-01,17.750000,20.125000,17.500000,18.875000,3.329797,379200
1985-03-01,18.875000,21.750000,18.625000,21.375000,3.770827,663800
1985-04-01,21.375000,21.625000,20.500000,20.625000,3.638519,217400
1985-05-01,20.500000,21.125000,19.000000,20.875000,3.682622,523500
1985-06-01,20.875000,21.250000,20.500000,21.250000,3.748776,382100
1985-07-01,21.250000,21.250000,20.000000,20.250000,3.572363,369900
1985-08-01,20.250000,20.250000,19.000000,20.250000,3.572363,346800
1985-09-01,20.250000,20.500000,19.000000,19.000000,3.351849,187200
1985-10-01,19.000000,20.000000,19.000000,19.250000,3.395950,337100
1985-11-01,19.250000,20.125000,18.500000,18.750000,3.307743,395600
1985-12-01,18.750000,19.000000,16.625000,18.250000,3.219539,511600
1986-01-01,18.250000,19.375000,17.125000,18.000000,3.175433,383200
1986-02-01,18.125000,18.875000,17.500000,18.000000,3.175433,391600
1986-03-01,18.000000,20.500000,17.625000,20.250000,3.572363,682000
1986-04-01,20.250000,20.375000,19.625000,19.750000,3.484157,469200
1986-05-01,19.750000,20.000000,14.000000,14.125000,2.491835,906100
1986-06-01,14.125000,15.250000,13.875000,14.750000,2.602093,697600
1986-07-01,14.750000,16.000000,14.625000,15.125000,2.668248,525000
1986-08-01,15.125000,16.750000,14.750000,16.500000,2.910815,406300
1986-09-01,16.500000,16.875000,15.875000,16.750000,2.954917,378500
1986-10-01,16.750000,17.000000,16.000000,16.375000,2.888764,388200
1986-11-01,16.375000,16.750000,15.750000,16.000000,2.822608,256300
1986-12-01,16.000000,16.125000,15.000000,15.125000,2.668248,356600
1987-01-01,15.125000,15.875000,14.875000,15.125000,2.668248,378100
1987-02-01,15.125000,15.750000,15.000000,15.500000,2.734402,436900
1987-03-01,15.500000,15.750000,14.875000,15.000000,2.646195,458100
1987-04-01,15.000000,15.500000,14.250000,15.125000,2.668248,275900
1987-05-01,15.125000,15.125000,13.875000,14.250000,2.513885,226700
1987-06-01,14.125000,14.500000,13.750000,14.375000,2.535938,338500
1987-07-01,14.375000,14.750000,13.500000,14.750000,2.602093,252900
1987-08-01,14.750000,14.875000,13.875000,14.000000,2.469783,233000
1987-09-01,14.000000,14.250000,12.250000,13.125000,2.315421,351000
1987-10-01,13.125000,13.125000,10.000000,10.750000,1.896439,685000
1987-11-01,10.750000,12.500000,10.750000,11.625000,2.050801,424000
1987-12-01,11.625000,11.625000,10.250000,10.750000,1.896439,506000
1988-01-01,10.875000,13.125000,10.750000,13.000000,2.293369,227400
1988-02-01,13.000000,13.125000,12.000000,12.250000,2.161059,166900
1988-03-01,12.125000,12.375000,11.250000,11.625000,2.108110,200300
1988-04-01,11.500000,11.875000,11.375000,11.750000,2.130778,148300
1988-05-01,11.625000,12.000000,10.875000,11.125000,2.017438,150500
1988-06-01,11.125000,11.375000,10.875000,11.000000,2.056013,152800
