Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,4.625000,5.281250,4.406250,5.125000,2.142224,30036800
1985-02-01,5.156250,5.687500,5.093750,5.281250,2.227776,14491200
1985-03-01,5.281250,5.578125,5.125000,5.546875,2.339822,15012000
1985-04-01,5.546875,5.671875,5.093750,5.359375,2.260731,14465600
1985-05-01,5.265625,5.875000,5.093750,5.828125,2.479524,25102400
1985-06-01,5.843750,6.062500,5.781250,6.000000,2.552650,15688800
1985-07-01,6.000000,6.000000,5.375000,5.390625,2.293397,12438400
1985-08-01,5.390625,5.687500,5.359375,5.437500,2.331536,15279200
1985-09-01,5.406250,5.531250,5.281250,5.296875,2.271237,10572000
1985-10-01,5.312500,5.796875,5.296875,5.546875,2.378434,9186400
1985-11-01,5.546875,6.343750,5.531250,6.171875,2.667830,19102400
1985-12-01,6.171875,6.609375,6.062500,6.312500,2.728615,17677600
1986-01-01,6.312500,7.031250,6.156250,6.781250,2.931235,13134400
1986-02-01,6.750000,7.625000,6.734375,7.593750,3.307928,11719200
1986-03-01,7.562500,8.062500,7.250000,7.843750,3.416832,16880800
1986-04-01,7.812500,8.484375,7.312500,7.734375,3.369185,13844000
1986-05-01,7.750000,9.218750,7.578125,8.890625,3.897034,15182400
1986-06-01,8.953125,8.953125,8.250000,8.875000,3.890184,11868000
1986-07-01,8.937500,8.953125,7.500000,7.734375,3.390213,16585600
1986-08-01,7.734375,8.421875,7.500000,8.109375,3.576729,14884800
1986-09-01,8.125000,8.593750,6.937500,7.250000,3.197691,18288800
1986-10-01,7.187500,7.984375,6.937500,7.921875,3.494030,24188000
1986-11-01,7.843750,8.171875,7.000000,7.796875,3.461585,13343200
1986-12-01,7.765625,8.093750,6.578125,6.750000,2.996804,29176800
1987-01-01,6.812500,8.125000,6.765625,7.656250,3.399153,31441600
1987-02-01,7.656250,9.125000,7.593750,9.093750,4.067761,20356800
1987-03-01,9.109375,9.328125,8.671875,9.093750,4.067761,19717600
1987-04-01,9.062500,9.656250,7.921875,8.203125,3.669374,23912000
1987-05-01,8.187500,8.734375,7.687500,8.453125,3.805424,23177600
1987-06-01,8.468750,9.625000,8.421875,9.171875,4.128992,17745600
1987-07-01,9.062500,10.125000,8.937500,9.953125,4.480691,19511200
1987-08-01,9.953125,10.500000,9.562500,9.796875,4.434744,18999200
1987-09-01,9.796875,9.890625,9.031250,9.312500,4.215483,19183200
1987-10-01,9.375000,9.406250,5.562500,6.703125,3.034299,34488800
1987-11-01,6.671875,7.187500,5.750000,5.875000,2.681591,19487200
1987-12-01,5.875000,6.718750,5.531250,6.625000,3.023921,23329600
1988-01-01,6.703125,7.625000,6.656250,7.593750,3.466097,15380000
1988-02-01,7.593750,8.437500,7.375000,8.375000,3.857609,13888800
1988-03-01,8.359375,8.625000,7.875000,8.109375,3.735262,13663200
1988-04-01,8.109375,8.625000,8.031250,8.406250,3.872005,11439200
1988-05-01,8.375000,8.375000,7.750000,7.937500,3.685353,16060000
1988-06-01,7.953125,8.687500,7.953125,8.578125,3.982792,12832800
1988-07-01,8.562500,8.718750,8.000000,8.562500,3.975537,12835200
1988-08-01,8.546875,8.828125,8.312500,8.468750,3.962777,12757600
1988-09-01,8.437500,8.843750,8.281250,8.515625,3.984708,12917600
1988-10-01,8.546875,9.578125,8.500000,9.312500,4.357590,16415200
1988-11-01,9.296875,9.296875,8.609375,8.875000,4.182850,12546400
1988-12-01,8.906250,9.531250,8.875000,9.296875,4.381683,11572000
1989-01-01,9.265625,10.078125,9.218750,10.062500,4.742528,17694400
1989-02-01,10.000000,10.218750,9.750000,9.906250,4.708505,14783200
1989-03-01,9.921875,10.687500,9.875000,10.312500,4.901598,16495600
1989-04-01,10.250000,10.406250,9.875000,10.281250,4.886745,24252800
1989-05-01,10.218750,11.406250,10.062500,11.343750,5.434837,16000800
1989-06-01,11.312500,11.718750,10.500000,11.093750,5.315062,19753600
1989-07-01,11.093750,11.812500,11.093750,11.781250,5.644447,17124400
1989-08-01,11.937500,13.156250,11.750000,13.125000,6.332623,19190800
1989-09-01,13.187500,13.406250,12.031250,12.468750,6.015990,18659600
1989-10-01,12.531250,13.031250,11.812500,12.625000,6.091380,14466400
1989-11-01,12.625000,12.687500,11.250000,11.437500,5.554264,19234000
1989-12-01,11.375000,11.656250,10.281250,11.156250,5.417680,21804800
1990-01-01,11.156250,11.687500,10.625000,11.312500,5.493560,25308000
1990-02-01,11.250000,11.343750,10.375000,11.312500,5.538500,18424000
1990-03-01,11.250000,12.218750,11.218750,11.843750,5.798596,13236000
1990-04-01,11.718750,12.468750,11.000000,11.625000,5.691499,11589200
1990-05-01,11.593750,12.906250,11.437500,12.406250,6.119604,12773600
1990-06-01,12.437500,13.218750,12.406250,13.093750,6.458726,14304000
1990-07-01,13.031250,14.437500,12.843750,13.187500,6.504970,15035600
1990-08-01,13.187500,13.218750,10.375000,10.468750,5.195980,19624400
1990-09-01,10.437500,10.437500,9.343750,9.562500,4.746179,23405600
1990-10-01,9.593750,10.000000,8.187500,8.812500,4.373927,24558400
1990-11-01,8.781250,9.968750,8.781250,9.531250,4.779675,17516400
1990-12-01,9.625000,11.125000,9.593750,10.500000,5.265473,17176000
1991-01-01,10.375000,11.562500,9.750000,11.437500,5.735611,19250400
1991-02-01,11.468750,12.468750,11.187500,12.093750,6.118755,15156000
1991-03-01,12.062500,13.500000,12.062500,13.218750,6.687943,11629600
1991-04-01,13.218750,13.437500,12.125000,12.125000,6.134566,18547200
1991-05-01,12.187500,13.656250,12.000000,13.625000,6.940850,14370000
1991-06-01,13.687500,13.812500,12.000000,12.125000,6.176717,11216400
1991-07-01,12.125000,12.500000,11.500000,11.718750,5.969770,17173200
1991-08-01,11.718750,12.500000,11.312500,12.000000,6.158638,12667200
1991-09-01,11.968750,12.031250,11.375000,11.781250,6.046369,11012800
1991-10-01,11.812500,11.906250,10.781250,11.000000,5.645419,12932400
1991-11-01,11.000000,11.187500,9.937500,10.406250,5.383053,17390000
1991-12-01,10.406250,11.125000,9.562500,11.125000,5.754854,19723600
1992-01-01,11.093750,12.093750,10.625000,12.062500,6.239813,19966000
1992-02-01,11.968750,12.843750,11.875000,12.687500,6.616931,16645600
1992-03-01,12.875000,13.000000,11.875000,12.312500,6.421354,13287600
1992-04-01,12.312500,12.500000,11.437500,12.468750,6.502845,12850000
1992-05-01,12.406250,12.812500,11.468750,11.531250,6.059198,10506000
1992-06-01,11.500000,11.562500,10.875000,11.375000,5.977096,11328400
1992-07-01,11.437500,12.468750,11.062500,12.468750,6.551817,9876400
1992-08-01,12.468750,12.500000,11.687500,12.312500,6.521605,8632000
1992-09-01,12.343750,12.718750,12.250000,12.625000,6.687127,12000000
1992-10-01,12.656250,13.312500,11.875000,13.250000,7.018174,13358400
1992-11-01,13.125000,13.656250,12.593750,13.593750,7.253929,14291200
1992-12-01,13.562500,13.750000,12.625000,13.281250,7.087175,18250400
1993-01-01,13.312500,13.687500,12.625000,12.875000,6.870387,12331200
1993-02-01,12.875000,13.187500,11.687500,12.187500,6.549722,16964800
1993-03-01,12.156250,12.437500,11.781250,12.031250,6.465750,20772800
1993-04-01,12.031250,12.031250,10.937500,11.250000,6.045892,15430400
1993-05-01,11.187500,11.968750,11.031250,11.718750,6.351443,18155200
1993-06-01,11.750000,11.968750,11.062500,11.656250,6.317569,18360000
1993-07-01,11.625000,11.687500,10.812500,11.562500,6.266757,20587600
1993-08-01,11.625000,11.781250,11.125000,11.750000,6.422462,16527200
1993-09-01,11.750000,11.750000,10.562500,11.000000,6.012524,20454000
1993-10-01,10.968750,11.406250,10.406250,10.500000,5.739222,21543600
1993-11-01,10.531250,10.750000,9.937500,10.250000,5.650557,19004800
1993-12-01,10.187500,10.437500,9.718750,10.156250,5.598874,20625200
1994-01-01,10.125000,10.156250,9.656250,9.937500,5.478285,22108400
1994-02-01,10.125000,10.125000,9.406250,9.687500,5.391365,14738800
1994-03-01,9.656250,9.718750,8.937500,9.531250,5.304406,18043600
1994-04-01,9.437500,10.406250,9.437500,9.937500,5.530499,23177600
1994-05-01,10.000000,10.312500,9.718750,10.156250,5.706621,14940400
1994-06-01,10.031250,10.062500,9.281250,9.687500,5.443238,16606400
1994-07-01,9.750000,9.968750,9.281250,9.281250,5.214974,14262000
1994-08-01,9.343750,9.593750,8.875000,9.468750,5.373015,17204000
1994-09-01,9.468750,9.468750,8.625000,8.906250,5.053828,15308400
1994-10-01,8.968750,9.156250,8.187500,8.343750,4.734637,11540400
1994-11-01,8.187500,8.593750,7.593750,7.875000,4.518234,20064400
1994-12-01,7.843750,7.937500,7.375000,7.718750,4.428587,20251200
1995-01-01,7.781250,8.125000,7.687500,7.687500,4.410657,15800000
1995-02-01,7.750000,8.375000,7.656250,8.125000,4.717254,19119600
1995-03-01,8.093750,9.375000,7.812500,9.312500,5.406696,24966400
1995-04-01,9.281250,9.437500,8.625000,8.937500,5.188978,14502800
1995-05-01,8.906250,9.968750,8.718750,9.937500,5.831550,27566400
1995-06-01,9.625000,9.656250,8.406250,8.562500,5.024668,34374400
1995-07-01,8.500000,9.312500,8.281250,9.000000,5.281404,20317200
1995-08-01,8.937500,9.062500,8.187500,8.343750,4.950238,21054400
1995-09-01,8.375000,8.937500,8.343750,8.625000,5.117099,33359200
1995-10-01,8.750000,9.281250,7.750000,8.000000,4.746297,38468400
1995-11-01,7.968750,8.125000,7.312500,7.781250,4.667186,28936400
1995-12-01,7.781250,8.062500,7.156250,7.687500,4.610957,35294400
1996-01-01,7.625000,7.968750,6.812500,7.125000,4.273571,36042800
1996-02-01,7.093750,8.093750,7.093750,7.968750,4.798087,33124000
1996-03-01,7.968750,9.093750,7.968750,9.031250,5.437833,49595200
1996-04-01,9.062500,10.062500,8.812500,9.687500,5.832972,83609200
1996-05-01,9.718750,10.171875,9.250000,10.156250,6.132452,56775200
1996-06-01,10.406250,11.125000,9.781250,10.125000,6.113583,55457600
1996-07-01,10.187500,10.343750,9.156250,9.781250,5.906022,27731600
1996-08-01,9.781250,11.000000,9.781250,10.562500,6.395731,29261200
1996-09-01,10.437500,11.500000,10.343750,11.031250,6.679563,51520000
1996-10-01,11.000000,11.187500,9.093750,9.312500,5.638838,58490800
1996-11-01,9.281250,10.531250,9.218750,10.281250,7.194606,48111600
1996-12-01,10.250000,10.500000,9.968750,10.343750,7.238342,33252800
1997-01-01,10.312500,11.281250,9.750000,10.812500,7.566361,43005600
1997-02-01,10.781250,11.843750,10.656250,11.562500,8.096509,33570800
1997-03-01,11.625000,12.000000,11.281250,11.531250,8.074632,31984400
1997-04-01,11.500000,12.500000,11.062500,12.406250,8.687341,62740800
1997-05-01,12.375000,12.562500,11.187500,11.906250,8.341981,68618800
1997-06-01,12.000000,13.437500,11.656250,12.812500,8.976930,53798400
1997-07-01,12.875000,14.390625,12.718750,14.187500,9.940310,61260400
1997-08-01,14.218750,14.562500,13.687500,14.093750,9.879983,41322800
1997-09-01,14.125000,15.000000,13.687500,14.218750,9.967612,46737600
1997-10-01,14.250000,15.437500,12.750000,15.328125,10.745302,47490400
1997-11-01,15.500000,16.734375,15.000000,16.625000,11.677169,33672400
1997-12-01,16.812500,17.500000,14.687500,16.015625,11.249151,44883200
1998-01-01,16.187500,16.812500,15.218750,16.390625,11.512550,31924400
1998-02-01,16.640625,18.750000,16.593750,18.515625,13.026426,36203600
1998-03-01,18.484375,19.453125,17.500000,18.875000,13.279263,50078400
1998-04-01,18.875000,20.000000,17.453125,18.437500,12.971467,54614800
1998-05-01,18.437500,18.437500,16.531250,17.546875,12.363315,65148000
1998-06-01,17.609375,19.812500,17.484375,19.468750,13.717446,52817800
1998-07-01,19.500000,22.750000,19.375000,20.500000,14.444056,42675600
1998-08-01,20.625000,23.687500,18.187500,18.187500,12.831436,34778000
1998-09-01,18.937500,23.562500,18.468750,21.906250,15.455048,44841800
1998-10-01,21.500000,24.500000,19.656250,22.843750,16.116468,51850800
1998-11-01,22.656250,25.375000,21.187500,24.687500,17.439608,44470800
1998-12-01,24.250000,28.000000,24.218750,27.500000,19.426388,33989600
1999-01-01,27.500000,27.843750,23.625000,27.375000,19.338093,49643400
1999-02-01,27.250000,29.187500,25.093750,26.500000,18.742685,39053600
1999-03-01,26.375000,26.500000,22.500000,23.750000,16.797688,93511400
1999-04-01,23.750000,25.656250,19.500000,23.812500,16.841900,96482000
1999-05-01,23.843750,25.250000,21.500000,23.000000,16.290243,52743600
1999-06-01,22.906250,26.718750,22.343750,25.375000,17.972397,48624600
1999-07-01,25.250000,25.906250,23.406250,24.875000,17.618256,46530200
1999-08-01,24.375000,25.343750,20.750000,20.843750,14.780115,74384000
1999-09-01,21.000000,21.125000,18.625000,20.406250,14.469891,86549600
1999-10-01,20.437500,23.250000,18.312500,21.718750,15.400573,95641000
1999-11-01,21.718750,21.750000,16.468750,19.843750,14.090422,113776200
1999-12-01,19.781250,20.093750,15.000000,19.937500,14.156995,128579600
2000-01-01,20.000000,20.093750,16.312500,17.468750,12.404010,121390800
2000-02-01,17.406250,20.750000,17.031250,17.500000,12.446360,119131200
2000-03-01,17.593750,19.000000,13.875000,18.781250,13.357615,146200800
2000-04-01,18.781250,23.406250,18.750000,21.750000,15.469048,86678200
2000-05-01,21.750000,22.812500,19.718750,21.750000,15.489703,81468800
2000-06-01,21.625000,22.906250,17.906250,20.000000,14.243401,93200200
2000-07-01,19.687500,22.500000,19.468750,19.750000,14.065366,57640800
2000-08-01,18.781250,19.906250,16.625000,18.570313,13.243299,105644400
2000-09-01,18.375000,23.468750,18.218750,23.156250,16.513729,86825200
2000-10-01,23.093750,27.062500,21.781250,26.468750,18.876013,102452000
2000-11-01,26.312500,29.562500,24.937500,28.437500,20.305618,125195200
2000-12-01,28.562500,30.218750,25.406250,29.968750,21.398991,84295800
2001-01-01,29.906250,29.906250,24.750000,29.600000,21.135689,111440400
2001-02-01,29.600000,31.875000,28.200001,30.500000,21.800962,90239600
2001-03-01,30.500000,31.200001,26.275000,29.245001,20.903906,89061200
2001-04-01,29.225000,30.150000,26.740000,29.475000,21.068308,82708200
2001-05-01,29.500000,29.875000,25.790001,27.450001,19.640760,126139600
2001-06-01,27.375000,28.475000,18.125000,19.299999,13.809354,203665000
2001-07-01,19.125000,20.520000,17.975000,18.004999,12.882763,156735000
2001-08-01,17.375000,19.075001,17.375000,18.055000,12.937295,134144600
2001-09-01,18.059999,19.405001,15.230000,16.600000,11.894725,123777200
2001-10-01,16.650000,17.275000,11.500000,11.950000,8.562766,188575200
2001-11-01,11.950000,13.975000,11.445000,13.475000,9.672709,184668400
2001-12-01,13.425000,15.240000,12.500000,14.800000,10.623835,108084400
2002-01-01,14.925000,15.095000,12.900000,13.600000,9.762443,90584200
2002-02-01,13.500000,14.485000,12.790000,13.660000,9.825868,86064600
2002-03-01,13.700000,17.775000,13.700000,17.165001,12.347068,114633000
2002-04-01,17.200001,17.850000,15.840000,16.740000,12.041368,81966400
2002-05-01,16.639999,17.825001,15.930000,16.014999,11.539289,75268400
2002-06-01,16.000000,16.920000,15.120000,15.300000,11.024107,89890400
2002-07-01,15.200000,15.370000,11.775000,14.300000,10.303577,110911400
2002-08-01,14.450000,15.700000,13.220000,14.695000,10.611684,87994000
2002-09-01,14.695000,15.040000,12.250000,12.675000,9.152981,76958400
2002-10-01,12.680000,14.470000,11.515000,13.865000,10.012312,113499800
2002-11-01,13.890000,14.280000,12.550000,13.440000,9.725516,98286400
2002-12-01,13.600000,13.900000,11.910000,12.485000,9.034460,92706400
2003-01-01,12.725000,13.195000,10.920000,11.310000,8.184195,94456200
2003-02-01,11.500000,13.035000,11.475000,12.450000,9.029783,114149200
2003-03-01,12.450000,13.340000,11.165000,11.925000,8.649008,94707200
2003-04-01,11.890000,12.450000,11.250000,12.105000,8.779558,109194000
2003-05-01,12.075000,13.745000,11.925000,13.050000,9.488177,114727400
2003-06-01,13.150000,14.350000,13.085000,14.015000,10.189786,92379600
2003-07-01,14.015000,15.210000,13.620000,14.995000,10.902309,95757400
2003-08-01,14.990000,16.420000,14.525000,16.299999,11.875505,69331400
2003-09-01,16.275000,16.350000,14.775000,15.530000,11.314520,86217200
2003-10-01,15.580000,18.105000,14.735000,17.590000,12.815347,102183600
2003-11-01,17.625000,18.775000,17.094999,18.730000,13.668966,70424200
2003-12-01,18.735001,18.764999,16.450001,18.059999,13.180001,94187000
2004-01-01,18.145000,19.190001,17.420000,17.860001,13.034051,81543200
2004-02-01,18.025000,19.254999,17.750000,18.750000,13.708728,72731400
2004-03-01,18.799999,18.950001,16.865000,17.650000,12.904480,80869000
2004-04-01,17.650000,19.900000,17.264999,19.315001,14.121811,129052600
2004-05-01,19.315001,21.065001,19.315001,20.840000,15.263301,106911200
2004-06-01,20.799999,21.500000,20.500000,21.010000,15.387802,72560200
