Date,Open,High,Low,Close,Adj Close,Volume
1994-11-01,28.563000,28.813000,26.375000,27.156000,7.587252,38904000
1994-12-01,26.750000,27.281000,26.219000,26.938000,7.526345,34834400
1995-01-01,26.938000,28.563000,26.813000,27.969000,7.814400,31240800
1995-02-01,28.031000,28.969000,27.781000,28.031000,7.831723,32348800
1995-03-01,28.031000,30.031000,28.000000,30.000000,8.381851,43936800
1995-04-01,30.000000,31.031000,29.625000,31.000000,8.661242,31018800
1995-05-01,31.406000,32.094002,30.031000,31.688000,8.853471,119995600
1995-06-01,31.750000,31.938000,30.188000,30.469000,8.733610,46508800
1995-07-01,30.625000,31.750000,30.188000,31.750000,9.100793,37473600
1995-08-01,31.719000,31.875000,29.188000,29.813000,8.545572,41429200
1995-09-01,30.188000,31.125000,29.781000,30.688000,8.796388,101982000
1995-10-01,30.688000,31.500000,30.313000,30.719000,8.976507,36690000
1995-11-01,31.000000,32.969002,30.469000,32.094002,9.378304,34031200
1995-12-01,32.405998,35.438000,32.250000,35.280998,10.309586,41336000
1996-01-01,35.280998,36.030998,33.405998,34.750000,10.154420,54072000
1996-02-01,35.094002,36.969002,34.250000,34.438000,10.063251,71554000
1996-03-01,34.780998,35.750000,33.813000,35.313000,10.318939,64097600
1996-04-01,35.500000,36.844002,35.250000,35.780998,10.455696,49047600
1996-05-01,35.313000,38.563000,34.780998,37.485001,10.953627,94790400
1996-06-01,37.469002,38.813000,37.405998,38.438000,11.478218,39555200
1996-07-01,38.563000,38.938000,36.625000,37.719002,11.263510,38944000
1996-08-01,36.969002,38.563000,36.875000,37.344002,11.151531,33142400
1996-09-01,37.344002,39.469002,37.344002,39.030998,11.655296,114471600
1996-10-01,39.405998,43.030998,39.063000,41.344002,12.549353,36203600
1996-11-01,40.500000,43.030998,39.625000,42.469002,12.890829,44488400
1996-12-01,42.125000,43.469002,40.280998,42.688000,12.957298,56116800
1997-01-01,42.688000,44.155998,42.405998,43.344002,13.156428,61219200
1997-02-01,43.750000,46.250000,43.000000,43.250000,13.127888,47667600
1997-03-01,42.655998,45.063000,42.530998,43.750000,13.279655,48211600
1997-04-01,43.594002,45.313000,42.063000,45.063000,13.678191,46471600
1997-05-01,44.625000,49.188000,44.280998,48.813000,14.816460,90140400
1997-06-01,48.750000,54.375000,48.219002,54.000000,16.676249,45077300
