Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,9.007279,9.274266,8.740293,9.246162,1.619776,33320184
1985-02-01,9.232110,9.541252,9.105643,9.344526,1.637009,26217060
1985-03-01,9.344526,9.569356,9.161851,9.344526,1.637009,23696055
1985-04-01,9.344526,9.892550,9.274266,9.794187,1.750850,14820045
1985-05-01,9.794187,10.215744,9.611512,10.103329,1.806113,19313198
1985-06-01,10.103329,10.510835,10.103329,10.412471,1.861377,33997134
1985-07-01,10.412471,10.904288,9.808239,9.948758,1.781752,27071033
1985-08-01,9.962810,10.300056,9.752031,10.243848,1.834600,19822916
1985-09-01,10.243848,10.468679,9.625564,9.667720,1.731420,35388407
1985-10-01,9.667720,10.426523,9.611512,10.215744,1.864691,23112503
1985-11-01,10.215744,11.213431,10.201693,11.185327,2.041670,28922209
1985-12-01,11.185327,12.070598,11.129119,11.972234,2.185306,29308279
1986-01-01,11.972234,12.449999,11.241534,12.365688,2.294450,24748402
1986-02-01,12.534311,13.012076,12.140857,12.899661,2.393528,22952385
1986-03-01,12.899661,14.220541,12.801297,13.967607,2.591685,31275089
1986-04-01,13.967607,14.951241,13.377426,14.332956,2.698810,22194034
1986-05-01,14.220541,15.344695,13.602257,15.288487,2.878732,22801603
1986-06-01,15.260383,16.187811,14.670202,15.625733,2.942233,30655511
1986-07-01,15.597629,16.525057,15.316591,16.525057,3.151660,22511607
1986-08-01,16.749886,17.311962,15.822460,16.974716,3.237421,28399147
1986-09-01,16.862303,17.087132,13.939503,14.473476,2.760384,38029506
1986-10-01,14.585891,15.063656,14.220541,15.035552,2.905551,21272005
1986-11-01,15.119864,15.681941,14.642099,15.541421,3.003309,18652260
1986-12-01,15.485214,16.412640,15.176072,15.176072,2.932707,44211495
1987-01-01,15.457110,16.946613,15.400902,16.777990,3.283528,26624924
1987-02-01,16.834198,17.002821,15.457110,16.272121,3.184527,30443797
1987-03-01,16.328329,16.328329,15.119864,15.176072,2.970026,34912940
1987-04-01,15.063656,15.457110,13.827087,14.838825,2.943545,34222642
1987-05-01,14.866929,15.176072,13.827087,15.007448,2.976996,23218361
1987-06-01,15.063656,16.244017,14.838825,15.316591,3.038319,29003604
1987-07-01,15.232279,15.513318,14.473476,15.344695,3.085394,25854123
1987-08-01,15.344695,17.396275,15.147968,16.974716,3.413146,33188973
1987-09-01,17.059029,17.930246,16.131601,17.227652,3.464004,37436171
1987-10-01,17.340067,17.874041,13.602257,16.215914,3.300616,46371338
